year,reviewer_id,book_title,book_author,score,n_pos,n_neg,n_total,pos_share,neg_share,sentiment_index
2024,R13,Русская ловушка,,9.375,4,0,4,1.0,0.0,1.0
2023,R16,Почему важна демография,,5.333333333333333,0,4,4,0.0,1.0,-1.0
2024,R13,Перманентная современность и динамика культуры,,7.375,2,3,5,0.4,0.6,-0.2
2024,R14,Урбанизация по-китайски,,8.0,3,0,3,1.0,0.0,1.0
2023,R5,Имидж региона в стратегии развития территории,,5.0,3,7,10,0.3,0.7,-0.4
2023,R16,Сельское предпринимательство в Северном Нечерноземье: социологические очерки по мотивам полевых наблюдений.,,7.625,0,3,3,0.0,1.0,-1.0
2023,R5,Долголетние семьи Якутии,,6.0,2,4,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2023,R14,Астросоциология. Освоение космоса в социологическом измерении,,6.0,0,5,5,0.0,1.0,-1.0
2024,R14,Пережитки большой войны,,6.0,0,0,0,,,
2023,R5,Здоровье подростков и окружающая среда: изменения за 20 лет,,7.0,2,3,5,0.4,0.6,-0.2
2023,R16,Возвратный тоталитаризм. В 2 тт.,,8.375,0,5,5,0.0,1.0,-1.0
2023,R9,"Иcторическое сознание россиян: оценки прошлого, память, символы (опыт социологического измерения)",,7.5,0,0,0,,,
2024,R16,ЭКСПЕРТНЫЕ ИНСТИТУТЫ В XXI ВЕКЕ: ЦИВИЛИЗАЦИОННЫЕ И ЦИФРОВЫЕ КОНЦЕПЦИИ МЕНЯЮЩЕГОСЯ МИРА,,3.0,0,3,3,0.0,1.0,-1.0
2024,R13,Люди на войне,,9.5,1,1,2,0.5,0.5,0.0
2023,R20,Моральное воспитание,,10.0,4,0,4,1.0,0.0,1.0
2023,R9,«От прекарной занятости к прекаризации жизни»,,8.5,8,0,8,1.0,0.0,1.0
2023,R16,Мы никогда не были средним классом. Как социальная мобильность вводит нас в заблуждение,,8.666666666666666,1,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2024,R14,Minima moraliа : размышления из поврежденной жизни,,9.0,5,2,7,0.7142857142857143,0.2857142857142857,0.42857142857142855
2023,R5,Миграционные риски в полиэтничном регионе: социолого-управленческий анализ,,6.0,1,3,4,0.25,0.75,-0.5
2024,R13,Политические эмоции. Почему любовь важна для справедливости,,5.833333333333333,0,0,0,,,
2023,R9,СОЦИАЛЬНОЕ УПРАВЛЕНИЕ ПРОФОРИЕНТАЦИОННОЙ ДЕЯТЕЛЬНОСТЬЮ В ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ СОВРЕМЕННОГО МЕГАПОЛИСА,,7.0,0,0,0,,,
2023,R9,«О ... социологии замолвите слово»,,7.0,8,0,8,1.0,0.0,1.0
2023,R1,Эпоха добродетелей: после советской морали,,7.0,5,2,7,0.7142857142857143,0.2857142857142857,0.42857142857142855
2024,R14,Авангард под ударом: Как модернизм сопротивлялся потребительской культуре в Европе,,8.0,1,1,2,0.5,0.5,0.0
2023,R16,От марксизма к постмарксизму,,9.166666666666666,1,1,2,0.5,0.5,0.0
2023,R14,24/7. Поздний капитализм и цели сна,,9.0,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2024,R13,Искусство на повестке дня. Рождение русской культуры из духа газетных споров,,8.5,1,1,2,0.5,0.5,0.0
2023,R9,Общество неравных возможностей: социальная структура современной России,,7.125,3,2,5,0.6,0.4,0.2
2024,R1,"Идентичность: личность, общество, политика",,6.0,3,6,9,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2023,R9,Универсальный базовый доход: шанс для России?,,7.0,3,3,6,0.5,0.5,0.0
2024,R16,Социальны порядки и экономические реформы,,8.0,0,1,1,0.0,1.0,-1.0
